incumbent,party,votes,votes_percent,candidate_name,description,geography,precincts_reporting,slug,race_name,scraped_datetime
,DEM,6884,0.2555,Jon Kaiman,,,604 of 604,3rd-congressional-district,3rd Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,9482,0.352,Robert P. Zimmerman,,,604 of 604,3rd-congressional-district,3rd Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,5296,0.1966,Joshua Alexander Lafazan,,,604 of 604,3rd-congressional-district,3rd Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,661,0.0245,Reema Rasool,,,604 of 604,3rd-congressional-district,3rd Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,4197,0.1558,Melanie D'Arrigo,,,604 of 604,3rd-congressional-district,3rd Congressional District,2022-11-07T05:19:04.425226-08:00
,,138,0.0051,Blank,,,604 of 604,3rd-congressional-district,3rd Congressional District,2022-11-07T05:19:04.425226-08:00
,,235,0.0087,Void,,,604 of 604,3rd-congressional-district,3rd Congressional District,2022-11-07T05:19:04.425226-08:00
,,48,0.0018,Write-in,,,604 of 604,3rd-congressional-district,3rd Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,2169,0.1082,Keith M. Corbett,,,601 of 601,4th-congressional-district,4th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,12432,0.6202,Laura A. Gillen,,,601 of 601,4th-congressional-district,4th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,297,0.0148,Md Muzibul Huq,,,601 of 601,4th-congressional-district,4th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,4811,0.24,Carrie Solages,,,601 of 601,4th-congressional-district,4th Congressional District,2022-11-07T05:19:04.425226-08:00
,,30,0.0015,Blank,,,601 of 601,4th-congressional-district,4th Congressional District,2022-11-07T05:19:04.425226-08:00
,,232,0.0116,Void,,,601 of 601,4th-congressional-district,4th Congressional District,2022-11-07T05:19:04.425226-08:00
,,75,0.0037,Write-in,,,601 of 601,4th-congressional-district,4th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,4006,0.1527,Paperboy Love Prince,,,402 of 402,7th-congressional-district,7th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,21470,0.8183,Nydia M. Velazquez,,,402 of 402,7th-congressional-district,7th Congressional District,2022-11-07T05:19:04.425226-08:00
,,388,0.0148,Blank,,,402 of 402,7th-congressional-district,7th Congressional District,2022-11-07T05:19:04.425226-08:00
,,26,0.001,Void,,,402 of 402,7th-congressional-district,7th Congressional District,2022-11-07T05:19:04.425226-08:00
,,347,0.0132,Write-in,,,402 of 402,7th-congressional-district,7th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,22196,0.8605,Hakeem S. Jeffries,,,378 of 378,8th-congressional-district,8th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,3214,0.1246,Queen Johnson,,,378 of 378,8th-congressional-district,8th Congressional District,2022-11-07T05:19:04.425226-08:00
,,182,0.0071,Blank,,,378 of 378,8th-congressional-district,8th Congressional District,2022-11-07T05:19:04.425226-08:00
,,49,0.0019,Void,,,378 of 378,8th-congressional-district,8th Congressional District,2022-11-07T05:19:04.425226-08:00
,,153,0.0059,Write-in,,,378 of 378,8th-congressional-district,8th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,11777,0.1809,Mondaire L. Jones,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,15380,0.2362,Yuh-Line Niou,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,10985,0.1687,Carlina Rivera,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,121,0.0019,Quanda Francis,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,322,0.0049,Brian Robinson,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,3991,0.0613,Jo Anne Simon,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,147,0.0023,Peter J. Gleason,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,686,0.0105,Yan Xiong,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,16686,0.2563,Daniel Goldman,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,777,0.0119,Jimmy Li,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,578,0.0089,Maud Maron,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,477,0.0073,Bill De Blasio,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,DEM,2845,0.0437,Elizabeth Holtzman,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,,106,0.0016,Blank,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,,132,0.002,Void,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
,,97,0.0015,Write-in,,,431 of 431,10th-congressional-district,10th Congressional District,2022-11-07T05:19:04.425226-08:00
