incumbent,party,votes,votes_percent,candidate_name,description,geography,precincts_reporting,slug,race_name,scraped_datetime,source
,,2896807,0.8313,Yes,Constitutional Right to Reproductive Freedom,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-01-constitutional-right-to-reproductive-freedom,Proposition 1,2022-10-21T17:03:48.866924-07:00,kpcc
,,587980,0.1687,No,Constitutional Right to Reproductive Freedom,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-01-constitutional-right-to-reproductive-freedom,Proposition 1,2022-10-21T17:03:48.866924-07:00,kpcc
,,2638239,0.7574,Yes,Sports Wagering on Tribal Lands,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-26-sports-wagering-on-tribal-lands,Proposition 26,2022-10-21T17:03:48.866924-07:00,kpcc
,,845076,0.2426,No,Sports Wagering on Tribal Lands,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-26-sports-wagering-on-tribal-lands,Proposition 26,2022-10-21T17:03:48.866924-07:00,kpcc
,,3149438,0.9036,Yes,Online Sports Wagering Outside of Tribal Lands,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-27-online-sports-wagering-outside-of-tribal-lands,Proposition 27,2022-10-21T17:03:48.866924-07:00,kpcc
,,336150,0.0964,No,Online Sports Wagering Outside of Tribal Lands,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-27-online-sports-wagering-outside-of-tribal-lands,Proposition 27,2022-10-21T17:03:48.866924-07:00,kpcc
,,2704290,0.7762,Yes,Public School Arts and Music Education Funding,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-28-public-school-arts-and-music-education-funding,Proposition 28,2022-10-21T17:03:48.866924-07:00,kpcc
,,779714,0.2238,No,Public School Arts and Music Education Funding,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-28-public-school-arts-and-music-education-funding,Proposition 28,2022-10-21T17:03:48.866924-07:00,kpcc
,,2884022,0.8275,Yes,Regulates Kidney Dialysis Clinics,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-29-regulates-kidney-dialysis-clinics,Proposition 29,2022-10-21T17:03:48.866924-07:00,kpcc
,,601141,0.1725,No,Regulates Kidney Dialysis Clinics,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-29-regulates-kidney-dialysis-clinics,Proposition 29,2022-10-21T17:03:48.866924-07:00,kpcc
,,3022928,0.8671,Yes,Tax to Fund ZEV/Wildfire Programs,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-30-tax-to-fund-zev-wildfire-programs,Proposition 30,2022-10-21T17:03:48.866924-07:00,kpcc
,,463416,0.1329,No,Tax to Fund ZEV/Wildfire Programs,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-30-tax-to-fund-zev-wildfire-programs,Proposition 30,2022-10-21T17:03:48.866924-07:00,kpcc
,,2911340,0.8348,Yes,Prohibition on Sale of Certain Tobacco Products,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-31-prohibition-on-sale-of-certain-tobacco-products,Proposition 31,2022-10-21T17:03:48.866924-07:00,kpcc
,,576111,0.1652,No,Prohibition on Sale of Certain Tobacco Products,California,"91.9% (23,528 of 25,603) precincts reporting",proposition-31-prohibition-on-sale-of-certain-tobacco-products,Proposition 31,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,2517423,0.7218,Shirley N. Weber,,,"91.9% (23,528 of 25,603) precincts reporting",secretary-of-state-statewide-results,Secretary of State - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,970345,0.2782,Rob Bernosky,,,"91.9% (23,528 of 25,603) precincts reporting",secretary-of-state-statewide-results,Secretary of State - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
True,Dem,2538060,0.7273,Ricardo Lara,,,"91.9% (23,528 of 25,603) precincts reporting",insurance-commissioner-statewide-results,Insurance Commissioner - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,951696,0.2727,Robert Howell,,,"91.9% (23,528 of 25,603) precincts reporting",insurance-commissioner-statewide-results,Insurance Commissioner - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
True,Dem,2528054,0.7209,Gavin Newsom,,,"91.9% (23,528 of 25,603) precincts reporting",governor-statewide-results,Governor - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,978540,0.2791,Brian Dahle,,,"91.9% (23,528 of 25,603) precincts reporting",governor-statewide-results,Governor - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
,,2537485,0.7266,Yes,,California,"91.9% (23,528 of 25,603) precincts reporting",retain-supreme-court-justice-patricia-guerrero,Retain Supreme Court Justice Patricia Guerrero,2022-10-21T17:03:48.866924-07:00,kpcc
,,954901,0.2734,No,,California,"91.9% (23,528 of 25,603) precincts reporting",retain-supreme-court-justice-patricia-guerrero,Retain Supreme Court Justice Patricia Guerrero,2022-10-21T17:03:48.866924-07:00,kpcc
,,2870836,0.8228,Yes,,California,"91.9% (23,528 of 25,603) precincts reporting",retain-supreme-court-justice-martin-j-jenkins,Retain Supreme Court Justice Martin J. Jenkins,2022-10-21T17:03:48.866924-07:00,kpcc
,,618344,0.1772,No,,California,"91.9% (23,528 of 25,603) precincts reporting",retain-supreme-court-justice-martin-j-jenkins,Retain Supreme Court Justice Martin J. Jenkins,2022-10-21T17:03:48.866924-07:00,kpcc
,,3135912,0.8999,Yes,,California,"91.9% (23,528 of 25,603) precincts reporting",retain-supreme-court-justice-goodwin-liu,Retain Supreme Court Justice Goodwin Liu,2022-10-21T17:03:48.866924-07:00,kpcc
,,348987,0.1001,No,,California,"91.9% (23,528 of 25,603) precincts reporting",retain-supreme-court-justice-goodwin-liu,Retain Supreme Court Justice Goodwin Liu,2022-10-21T17:03:48.866924-07:00,kpcc
,,2576207,0.7382,Yes,,California,"91.9% (23,528 of 25,603) precincts reporting",retain-supreme-court-justice-joshua-p-groban,Retain Supreme Court Justice Joshua P. Groban,2022-10-21T17:03:48.866924-07:00,kpcc
,,913847,0.2618,No,,California,"91.9% (23,528 of 25,603) precincts reporting",retain-supreme-court-justice-joshua-p-groban,Retain Supreme Court Justice Joshua P. Groban,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,98441,0.6908,Mike McGuire,,,"95.6% (1,089 of 1,139) precincts reporting",state-senate-district-2-districtwide-results,State Senate District 2 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,44056,0.3092,Gene Yoon,,,"95.6% (1,089 of 1,139) precincts reporting",state-senate-district-2-districtwide-results,State Senate District 2 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,217518,0.7329,Marie Alvarado-Gil,,,94.6% (648 of 685) precincts reporting,state-senate-district-4-districtwide-results,State Senate District 4 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,79276,0.2671,Tim Robertson,,,94.6% (648 of 685) precincts reporting,state-senate-district-4-districtwide-results,State Senate District 4 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,38699,0.7793,Paula Villescaz,,,100% (574 of 574) precincts reporting,state-senate-district-6-districtwide-results,State Senate District 6 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,10960,0.2207,Roger Niello,,,100% (574 of 574) precincts reporting,state-senate-district-6-districtwide-results,State Senate District 6 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,44919,0.5573,Angelique Ashby,,,100% (366 of 366) precincts reporting,state-senate-district-8-districtwide-results,State Senate District 8 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,35681,0.4427,Dave Jones,,,100% (366 of 366) precincts reporting,state-senate-district-8-districtwide-results,State Senate District 8 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,67,0.0308,Lily Mei,,,0% (0 of 326) precincts reporting,state-senate-district-10-districtwide-results,State Senate District 10 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,2107,0.9692,Aisha Wahab,,,0% (0 of 326) precincts reporting,state-senate-district-10-districtwide-results,State Senate District 10 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,137731,0.7327,Susanne Gundy,,,78.7% (589 of 748) precincts reporting,state-senate-district-12-districtwide-results,State Senate District 12 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,50250,0.2673,Shannon Grove,,,78.7% (589 of 748) precincts reporting,state-senate-district-12-districtwide-results,State Senate District 12 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,64783,0.7269,Anna Caballero,,,99.9% (705 of 706) precincts reporting,state-senate-district-14-districtwide-results,State Senate District 14 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,24335,0.2731,Amnon Shor,,,99.9% (705 of 706) precincts reporting,state-senate-district-14-districtwide-results,State Senate District 14 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,40306,0.2703,Melissa Hurtado,,,67.6% (418 of 618) precincts reporting,state-senate-district-16-districtwide-results,State Senate District 16 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,108811,0.7297,David Shepard,,,67.6% (418 of 618) precincts reporting,state-senate-district-16-districtwide-results,State Senate District 16 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,94534,0.7328,Steve Padilla,,,58% (487 of 840) precincts reporting,state-senate-district-18-districtwide-results,State Senate District 18 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,34469,0.2672,Alejandro Galicia,,,58% (487 of 840) precincts reporting,state-senate-district-18-districtwide-results,State Senate District 18 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,196,0.6164,Daniel Hertzberg,,,100% (224 of 224) precincts reporting,state-senate-district-20-districtwide-results,State Senate District 20 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,122,0.3836,Caroline Menjivar,,,100% (224 of 224) precincts reporting,state-senate-district-20-districtwide-results,State Senate District 20 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,129,0.3458,Susan Rubio,,,100% (572 of 572) precincts reporting,state-senate-district-22-districtwide-results,State Senate District 22 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,244,0.6542,Vincent Tsai,,,100% (572 of 572) precincts reporting,state-senate-district-22-districtwide-results,State Senate District 22 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,246,0.693,Ben Allen,,,100% (358 of 358) precincts reporting,state-senate-district-24-districtwide-results,State Senate District 24 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,109,0.307,Kristina Irwin,,,100% (358 of 358) precincts reporting,state-senate-district-24-districtwide-results,State Senate District 24 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,110,0.3583,Maria Elena Durazo,,,100% (243 of 243) precincts reporting,state-senate-district-26-districtwide-results,State Senate District 26 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,197,0.6417,Claudia Agraz,,,100% (243 of 243) precincts reporting,state-senate-district-26-districtwide-results,State Senate District 26 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,203,0.6265,Lola Smallwood-Cuevas,,,100% (281 of 281) precincts reporting,state-senate-district-28-districtwide-results,State Senate District 28 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,121,0.3735,Cheryl C. Turner,,,100% (281 of 281) precincts reporting,state-senate-district-28-districtwide-results,State Senate District 28 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,4480,0.4998,Bob Archuleta,,,100% (428 of 428) precincts reporting,state-senate-district-30-districtwide-results,State Senate District 30 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,4483,0.5002,Mitch Clemmons,,,100% (428 of 428) precincts reporting,state-senate-district-30-districtwide-results,State Senate District 30 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,103312,0.2722,Brian Nash,,,100% (643 of 643) precincts reporting,state-senate-district-32-districtwide-results,State Senate District 32 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,276235,0.7278,Kelly Seyarto,,,100% (643 of 643) precincts reporting,state-senate-district-32-districtwide-results,State Senate District 32 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,2870,0.4886,Tom Umberg,,,100% (436 of 436) precincts reporting,state-senate-district-34-districtwide-results,State Senate District 34 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,3004,0.5114,Rhonda Shader,,,100% (436 of 436) precincts reporting,state-senate-district-34-districtwide-results,State Senate District 34 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,4519,0.4988,Kim Carr,,,100% (653 of 653) precincts reporting,state-senate-district-36-districtwide-results,State Senate District 36 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,4540,0.5012,Janet Nguyen,,,100% (653 of 653) precincts reporting,state-senate-district-36-districtwide-results,State Senate District 36 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,6114,0.5206,Catherine Blakespear,,,100% (741 of 741) precincts reporting,state-senate-district-38-districtwide-results,State Senate District 38 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,5631,0.4794,Matt Gunderson,,,100% (741 of 741) precincts reporting,state-senate-district-38-districtwide-results,State Senate District 38 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,960,0.6667,Joseph C. Rocha,,,"100% (1,068 of 1,068) precincts reporting",state-senate-district-40-districtwide-results,State Senate District 40 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,480,0.3333,Brian W. Jones,,,"100% (1,068 of 1,068) precincts reporting",state-senate-district-40-districtwide-results,State Senate District 40 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,965430,0.2767,Rob Bonta,,,"91.9% (23,528 of 25,603) precincts reporting",attorney-general-statewide-results,Attorney General - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,2523652,0.7233,Nathan Hochman,,,"91.9% (23,528 of 25,603) precincts reporting",attorney-general-statewide-results,Attorney General - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,968427,0.2774,Alex Padilla,,,"91.9% (23,528 of 25,603) precincts reporting",u-s-senate-full-term-statewide-results,U.S. Senate (Full Term) - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,2522352,0.7226,Mark P. Meuser,,,"91.9% (23,528 of 25,603) precincts reporting",u-s-senate-full-term-statewide-results,U.S. Senate (Full Term) - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
